Resultados Elecciones Generales Presidenciales 2021 - 

"AYACUCHO"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"416,261","287,119","68.976"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","7,260","3.247"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1,818","0.813"
"PARTIDO MORADO","2,191","0.980"
"PERU PATRIA SEGURA","457","0.204"
"VICTORIA NACIONAL","4,837","2.163"
"ACCION POPULAR","18,458","8.254"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","8,464","3.785"
"PODEMOS PERU","3,874","1.732"
"JUNTOS POR EL PERU","22,946","10.261"
"PARTIDO POPULAR CRISTIANO - PPC","887","0.397"
"FUERZA POPULAR","15,703","7.022"
"UNION POR EL PERU","2,207","0.987"
"RENOVACION POPULAR","10,583","4.732"
"RENACIMIENTO UNIDO NACIONAL","2,800","1.252"
"PARTIDO DEMOCRATICO SOMOS PERU","1,939","0.867"
"PARTIDO POLITICO NACIONAL PERU LIBRE","114,045","50.999"
"DEMOCRACIA DIRECTA","637","0.285"
"ALIANZA PARA EL PROGRESO","4,518","2.020"
"TOTAL DE VOTOS VÁLIDOS","223,624","100.000"
"VOTOS EN BLANCO","49,221",""
"VOTOS NULOS","14,274",""
"TOTAL DE VOTOS EMITIDOS","287,119",""
""
""
"Actas","Actas Procesadas 88.791%","Actas Enviadas al JNE"
"1,704","1,513","12"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"1,513","0","191"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"2","10","0","0","0","0","0","0","0","0"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"0","0"
""
""
"ACTAS POR PROCESAR(11.209)%"
"191"
""
""
