Resultados Elecciones Generales Presidenciales 2021 - 

"PUNO"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"907,779","743,747","81.930"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","7,136","1.172"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","3,391","0.557"
"PARTIDO MORADO","3,564","0.586"
"PERU PATRIA SEGURA","1,402","0.230"
"VICTORIA NACIONAL","5,605","0.921"
"ACCION POPULAR","173,764","28.547"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","21,414","3.518"
"PODEMOS PERU","6,751","1.109"
"JUNTOS POR EL PERU","35,147","5.774"
"PARTIDO POPULAR CRISTIANO - PPC","1,946","0.320"
"FUERZA POPULAR","17,330","2.847"
"UNION POR EL PERU","5,123","0.842"
"RENOVACION POPULAR","15,739","2.586"
"RENACIMIENTO UNIDO NACIONAL","5,592","0.919"
"PARTIDO DEMOCRATICO SOMOS PERU","3,052","0.501"
"PARTIDO POLITICO NACIONAL PERU LIBRE","288,952","47.471"
"DEMOCRACIA DIRECTA","1,672","0.275"
"ALIANZA PARA EL PROGRESO","11,113","1.826"
"TOTAL DE VOTOS VÁLIDOS","608,693","100.000"
"VOTOS EN BLANCO","94,587",""
"VOTOS NULOS","40,467",""
"TOTAL DE VOTOS EMITIDOS","743,747",""
""
""
"Actas","Actas Procesadas 99.937%","Actas Enviadas al JNE"
"3,163","3,161","46"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"3,161","0","2"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"3","29","3","1","0","0","0","0","0","10"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"0","0"
""
""
"ACTAS POR PROCESAR(0.063)%"
"2"
""
""
