Resultados Elecciones Generales Presidenciales 2021 - 

"TUMBES"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"162,118","120,612","74.398"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","988","1.036"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","538","0.564"
"PARTIDO MORADO","1,200","1.258"
"PERU PATRIA SEGURA","212","0.222"
"VICTORIA NACIONAL","3,720","3.899"
"ACCION POPULAR","6,862","7.192"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","6,889","7.221"
"PODEMOS PERU","5,028","5.270"
"JUNTOS POR EL PERU","5,104","5.350"
"PARTIDO POPULAR CRISTIANO - PPC","684","0.717"
"FUERZA POPULAR","35,398","37.102"
"UNION POR EL PERU","382","0.400"
"RENOVACION POPULAR","8,582","8.995"
"RENACIMIENTO UNIDO NACIONAL","265","0.278"
"PARTIDO DEMOCRATICO SOMOS PERU","1,399","1.466"
"PARTIDO POLITICO NACIONAL PERU LIBRE","7,337","7.690"
"DEMOCRACIA DIRECTA","445","0.466"
"ALIANZA PARA EL PROGRESO","10,373","10.872"
"TOTAL DE VOTOS VÁLIDOS","95,406","100.000"
"VOTOS EN BLANCO","15,735",""
"VOTOS NULOS","9,471",""
"TOTAL DE VOTOS EMITIDOS","120,612",""
""
""
"Actas","Actas Procesadas 100.000%","Actas Enviadas al JNE"
"574","574","19"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"574","0","0"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"3","12","0","0","0","0","0","0","1","3"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"0","0"
""
""
"ACTAS POR PROCESAR(0.000)%"
"0"
""
""
