Resultados Elecciones Generales Presidenciales 2021 - 

"PASCO"
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"163,826","107,871","65.845"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","1,739","1.977"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","273","0.310"
"PARTIDO MORADO","1,367","1.554"
"PERU PATRIA SEGURA","205","0.233"
"VICTORIA NACIONAL","3,774","4.290"
"ACCION POPULAR","11,040","12.551"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","4,762","5.414"
"PODEMOS PERU","2,486","2.826"
"JUNTOS POR EL PERU","6,171","7.015"
"PARTIDO POPULAR CRISTIANO - PPC","690","0.784"
"FUERZA POPULAR","10,215","11.613"
"UNION POR EL PERU","699","0.795"
"RENOVACION POPULAR","7,145","8.123"
"RENACIMIENTO UNIDO NACIONAL","532","0.605"
"PARTIDO DEMOCRATICO SOMOS PERU","1,474","1.676"
"PARTIDO POLITICO NACIONAL PERU LIBRE","30,833","35.052"
"DEMOCRACIA DIRECTA","234","0.266"
"ALIANZA PARA EL PROGRESO","4,325","4.917"
"TOTAL DE VOTOS VÁLIDOS","87,964","100.000"
"VOTOS EN BLANCO","14,133",""
"VOTOS NULOS","5,774",""
"TOTAL DE VOTOS EMITIDOS","107,871",""
""
""
"Actas","Actas Procesadas 83.453%","Actas Enviadas al JNE"
"695","580","12"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"580","0","115"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"0","8","1","0","0","0","0","0","2","1"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"0","0"
""
""
"ACTAS POR PROCESAR(16.547)%"
"115"
""
""
