Country/economies,Vaccine developer,Manufacturer,Vaccine name,Price per dose,Source
Latin America,AstraZeneca,AstraZeneca,Vaxzevria,4,https://www.reuters.com/article/us-health-coronavirus-latam-vaccine/astrazeneca-set-to-start-making-400-million-covid-19-vaccines-for-latam-early-in-2021-idINKCN2591Y1
Latin America,Gamaleya Research Institute,Uniao Quimica Farmaceutica Nacional,Sputnik V,3,https://www.reuters.com/article/idUSKBN27F2OO
Lebanon private market,Gamaleya Research Institute,Gamaleya Research Institute,Sputnik V,19,https://apnews.com/article/lebanon-coronavirus-pandemic-russia-financial-markets-coronavirus-vaccine-b81a58fa49d276315c5b6fed0ef8fe53
Mexico,AstraZeneca,Serum Institute of India,Covishield,4,https://www.gob.mx/sre/prensa/mexico-receives-shipment-of-870-000-doses-of-sars-cov-2-vaccine
Mongolia,Beijing Institute of Biological Products (CNBG),Beijing Institute of Biological Products (CNBG),BBIBP-CorV,15,https://www.montsame.mn/en/read/262799
Nepal,AstraZeneca,Serum Institute of India,Covishield,4,https://kathmandupost.com/health/2021/02/16/cabinet-clears-way-for-procuring-2-million-doses-of-covid-19-vaccine-from-india
Nepal private market,Bharat Biotech,Bharat Biotech,Covaxin,35,https://kathmandupost.com/health/2021/03/31/private-firm-seeks-permit-to-import-sell-indian-vaccine
Pakistan private market,CanSino Biologicals,CanSino Biologicals,Ad5-nCOV,27.15,https://www.reuters.com/article/us-health-coronavirus-pakistan-vaccine-e/exclusive-pakistan-to-receive-first-purchase-of-over-1-million-doses-of-chinese-vaccines-minister-idUSKBN2BF20I
Pakistan private market,Gamaleya Research Institute,Gamaleya Research Institute,Sputnik V,27.15,https://www.reuters.com/article/us-health-coronavirus-pakistan-vaccine-e/exclusive-pakistan-to-receive-first-purchase-of-over-1-million-doses-of-chinese-vaccines-minister-idUSKBN2BF20I
Philippines,AstraZeneca,AstraZeneca,Vaxzevria,5,https://pia.gov.ph/news/articles/1062393
Philippines,Sinovac,Sinovac,Coronavac,14.49,https://www.rappler.com/nation/one-million-sinovac-vaccine-doses-arrive-philippines-march-29-2021
Russia,Vector Institute,Vector Institute,EpiVacCorona,5.51,https://gxpnews.net/en/2021/04/fas-agreed-two-fold-price-reduction-of-epivaccorona-vaccine/
Saudi Arabia,AstraZeneca,Serum Institute of India,Covishield,5.25,https://www.reuters.com/article/health-coronavirus-india-saudi-exclusive/exclusive-saudi-arabia-to-get-three-million-astrazeneca-shots-in-about-a-week-from-india-idUSKBN29V0DE
