fuente,title,url,fecha
nyt,"Coronavirus Vaccine Tracker",https://www.nytimes.com/interactive/2020/science/coronavirus-vaccine-tracker.html,2021-09-17
toi,"Coronavirus Vaccine For Kids: List Of All COVID-19 Vaccines Being Developed Right Now",https://timesofindia.indiatimes.com/life-style/parenting/toddler-year-and-beyond/coronavirus-vaccine-for-kids-list-of-all-covid-19-vaccines-being-developed-right-now/photostory/83749557.cms?picid=83749585,2021-06-23
eur,"COVID vaccines: Which countries are vaccinating children over 12 and how do they compare?",https://www.euronews.com/next/2021/09/14/covid-vaccine-for-children-who-in-europe-is-leading-the-race,2021-09-14
mcl,"COVID-19: Se aprueba en emergencia el uso de la vacuna Sinovac para niños mayores de 6 años",https://www.minsal.cl/covid-19-se-aprueba-en-emergencia-el-uso-de-la-vacuna-sinovac-para-ninos-mayores-de-6-anos/,2021-09-06
