Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Citizenship","ALL"
"Year","ALL"

"<Year>","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980",
"<measures>"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics"," Doctorate Recipients by Demographic Characteristics",
"[Citizenship]",
"U.S. citizen or permanent resident","35,274","35,342","35,736","35,678","35,071","34,003","33,964","32,981","31,725","31,602","32,327","30,844","29,501","29,028","27,945","28,040","28,170","27,737","28,894","29,952","30,312","31,204","31,097","31,548","32,062","30,904","28,722","28,005","27,437","26,619","25,057","24,932","24,585","24,541","24,711","25,296","25,698","25,689","26,362","26,532",
"Temporary visa holder","18,351","17,584","16,287","16,477","16,129","15,839","15,674","14,784","14,235","13,636","14,736","15,261","15,123","14,198","12,832","11,628","10,597","9,747","9,812","9,667","9,060","9,461","9,194","9,740","8,831","9,421","9,964","9,980","9,374","8,140","6,677","6,241","5,660","5,318","5,252","4,897","4,555","4,254","3,993","3,696",
"Unknown citizenship","2,078","2,177","2,531","2,654","3,686","4,144","3,065","3,178","2,949","2,790","2,489","2,671","3,508","2,394","2,608","2,454","1,995","2,547","2,038","1,750","1,728","1,971","2,248","1,149","854","709","1,114","901","719","1,306","2,591","2,324","2,120","2,038","1,332","1,141","1,027","1,165","1,000","791",


NOTES:,

"SOURCE: National Center for Science and Engineering Statistics, Survey of Earned Doctorates."
Downloaded 2021/04/03 at 16:08:55 PM EST,
