country,year,gender,age,share_bottom50_inc,share_top10_pct_inc
USA,2006,All genders,25-55,19.12,35.33
USA,2007,All genders,25-55,18.93,35.75
USA,2008,All genders,25-55,19.06,35.31
USA,2009,All genders,25-55,19.03,34.76
USA,2010,All genders,25-55,18.85,35.36
USA,2011,All genders,25-55,18.65,35.78
USA,2012,All genders,25-55,18.51,36.27
USA,2013,All genders,25-55,18.63,35.79
USA,2014,All genders,25-55,18.54,36.11
USA,2015,All genders,25-55,18.6,36.11
USA,2016,All genders,25-55,18.76,35.89
USA,2017,All genders,25-55,18.8,35.99
USA,2018,All genders,25-55,18.93,35.92
USA,2019,All genders,25-55,19.04,35.87
